category	subCategory	name	scientificName	latinName	tradeMarkName	ingredientProductTypes	amount	potency	cost	suggestedOverage	gummyOverage	primary	secondary	tertiary	manufacturingCountry	originCountry	shelfLife	bulkDensity	tappedDensity	avergageParticleSize	lossOnDrying	arsenic	cadmium	lead	mercury	celery	custaceans	egg	fish	gluten	lupin	milk	molluscs	mustard	peanut	sesameSeeds	shellfish	soy	sulphites	treeNuts	wheat	vegan	non_gmo	kosher	gluten_Free	organic	moisture	calories	protein	carbohydrates	dietaryFiber	totalSugars	addedSugar	totalFat	saturatedFat	monounsaturatedFat	polyunsaturatedFat	transFat	cholesterol	sodium	vitaminA	vitaminC	vitaminD	vitaminE	vitamink	vitaminK2	thiamin	riboflavin	niacin	vitaminB6	folicAcid	vitaminB12	biotin	pantothenicAcid	choline	calcium	iron	phosphorus	iodine	magnesium	zinc	selenium	copper	manganese	chromium	molybdenum	chloride	potassium	boron
Fibers	Prebiotic	Chicory Root Fructooligosaccharides (FOS)	Cichorium intybus	Chicory Root Fructooligosaccharides (Cichorium intybus)	Orafti L90	C,T,P,G	1	0.9	4.6	1	1					Belgium or Chile	24					0.03	0.01	0.02	0.01	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Sweeteners	Natural Sweeteners	Tapioca Syrup	Tapioca Syrup	Tapioca Syrup		G	100	1	8	1	1					United States	24					0.1	0.05	0.05	0.01	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y	Y			323		80.7		30.2																																					
Vegetables	Anti-Inflammatory	Broccoli Seed Extract 13% Glucoraphanin	Brassica Oleracea	Broccoli Seed Extract (Brassica oleracea) (std. to 13% Glucoraphanin)	Sanbroc Broccoli Seed Extract 13%	C,T,P	100	0.13	366	0.98						China	24				8%	0.15	0.5	0.1	0.15	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y				467	29.2	54	3.7	10.1		1.4	0.1	0.9	0.38	0	5.7	431																	1.3											4290	
Vegetables	Anti-Inflammatory	Broccoli Seed Extract 5% Glucoraphanin	Brassica Oleracea	Broccoli Seed Extract (Brassica oleracea) (std. to 5% Glucoraphanin)	Sanbroc Broccoli Seed Extract 5%	C,T,P	1	0.05	165	0.98						China	24				8%	0.15	0.5	0.1	0.15	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Excipients	Filler	Maltodextrin DE15-20 Agglomerated	Agglomerated Maltodextrin DE10-12 (Non-GMO/IP)	Maltodextrin		P	100	1	3.8	1						China	24	0.4				0.5		0.5		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y				6	377	0	94	0	7	0	0	0	0	0	0	0	6.4	0	0	0	0		0	0	0	0	0	0	0	0			0	0		0	0	0	0						0	0
Specialty	Sports Nutrition	Agmatine	Agmatine Sulfate	Agmatine Sulfate		C,T,P,G	1	0.98	15	0.98	0.95					China	24	0.4	0.6	60	5	1	1	0.5	0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Herbs	Greens	Alfalfa Powder	Medicago Sativa L.	Alfalfa Powder (Medicago sativa) (Whole Leaf)		C,T,P,G	1	0.95	6.4	1	1					India	60				12	1	1	3	0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Minerals	Vitality	Iron	Ferrous bisglycinate	Iron (as Ferrous Bisglycinate)		C,T,P,G	1	0.2	25	0.98	0.95					USA	36					1	<0.5	<0.5	<0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Amino Acid	Muscle Health	Leucine	L-Leucine	L-Leucine		C,T,P,G	1	0.95	12	0.98	0.95					China	24					1	0.02	0.2	0.05																																																																
Excipients	Binding Agent	Microcrystalline Cellulose	Microcrystalline Cellulose	Microcrystalline Cellulose		C,T,P	1	1	4.75	1						Weissenborn, Germany	60					1	1	1	1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
